No,torch_tf_max_diff,torch_tf_mean_diff,tfjschrome_torch_max_diff,tfjschrome_torch_mean_diff,tfjschrome_tf_max_diff,tfjschrome_tf_mean_diff,channels,model,fail_time
16,1.79E-07,7.93E-09,1.19E-07,8.30E-09,2.98E-07,1.14E-08,0:1 1:1 2:1 3:1 4:2 5:2 6:2 7:2 8:2 9:2 ,from:0 to:1 operator:-1  from:0 to:4 operator:10  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:11  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,5
20,1.19E-07,5.34E-09,1.19E-07,5.69E-09,1.19E-07,7.44E-09,0:1 1:1 2:1 3:1 4:1 5:2 6:2 7:3 8:4 9:4 ,from:0 to:1 operator:-1  from:0 to:5 operator:9  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:8 operator:17  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,8
25,5.96E-08,1.96E-09,1.19E-07,5.44E-09,1.19E-07,4.98E-09,0:1 1:1 2:1 3:1 4:1 5:2 6:2 7:3 8:4 9:4 ,from:0 to:1 operator:-1  from:0 to:5 operator:17  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:8 operator:17  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,12
28,1.19E-07,1.99E-08,1.19E-07,1.39E-08,1.19E-07,2.26E-08,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:2 9:2 ,from:0 to:1 operator:17  from:1 to:2 operator:16  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:13  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,14
31,1.19E-07,2.20E-08,1.19E-07,1.12E-08,1.19E-07,2.31E-08,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:3 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:16  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:7 operator:4  from:3 to:8 operator:13  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,16
32,1.19E-07,5.64E-09,1.19E-07,3.61E-09,1.19E-07,6.34E-09,0:1 1:1 2:1 3:2 4:2 5:2 6:2 7:3 8:3 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:3 operator:9  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,16
33,0,0,0,0,0,0,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:2 9:2 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:12  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,16
35,5.96E-08,1.71E-09,1.19E-07,4.48E-09,1.19E-07,4.03E-09,0:1 1:1 2:1 3:1 4:1 5:2 6:2 7:3 8:4 9:5 ,from:0 to:1 operator:-1  from:0 to:5 operator:17  from:1 to:2 operator:-1  from:1 to:9 operator:11  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:8 operator:17  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,17
38,1.19E-07,3.47E-09,1.19E-07,2.20E-09,1.19E-07,3.83E-09,0:1 1:1 2:1 3:1 4:1 5:2 6:3 7:4 8:4 9:5 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:5 operator:8  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:3 to:6 operator:8  from:4 to:5 operator:-1  from:4 to:9 operator:9  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,19
39,1.19E-07,6.77E-09,1.19E-07,4.41E-09,1.19E-07,7.53E-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:3 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:11  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:9  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,19
41,5.96E-08,2.08E-09,1.19E-07,5.68E-09,1.19E-07,5.24E-09,0:1 1:1 2:1 3:1 4:1 5:2 6:2 7:3 8:4 9:6 ,from:0 to:1 operator:-1  from:0 to:5 operator:17  from:0 to:9 operator:17  from:1 to:2 operator:-1  from:1 to:9 operator:11  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:8 operator:17  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,20
42,1.19E-07,5.91E-09,1.19E-07,3.57E-09,1.19E-07,6.41E-09,0:1 1:1 2:1 3:1 4:1 5:2 6:2 7:3 8:3 9:3 ,from:0 to:1 operator:-1  from:0 to:5 operator:9  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:4  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,20
44,1.19E-07,5.85E-09,1.19E-07,3.57E-09,1.19E-07,6.59E-09,0:1 1:1 2:1 3:2 4:2 5:2 6:2 7:3 8:3 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:3 operator:9  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:12  from:8 to:9 operator:-1  ,21
48,1.19E-07,2.48E-08,1.19E-07,1.30E-08,1.19E-07,2.58E-08,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:3 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:16  from:2 to:3 operator:-1  from:2 to:7 operator:11  from:3 to:4 operator:-1  from:3 to:8 operator:13  from:4 to:5 operator:-1  from:5 to:6 operator:8  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,24
50,1.19E-07,5.34E-09,1.19E-07,5.04E-09,1.19E-07,7.32E-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:4 9:4 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:5 to:8 operator:13  from:6 to:7 operator:9  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,25
52,1.19E-07,8.15E-09,1.19E-07,4.70E-09,1.19E-07,8.86E-09,0:1 1:1 2:1 3:1 4:1 5:2 6:2 7:4 8:4 9:5 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:5 operator:8  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:3 to:7 operator:16  from:4 to:5 operator:-1  from:4 to:9 operator:9  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,26
53,1.19E-07,3.37E-09,1.19E-07,2.23E-09,1.19E-07,3.85E-09,0:1 1:1 2:1 3:1 4:1 5:2 6:2 7:3 8:4 9:5 ,from:0 to:1 operator:-1  from:0 to:8 operator:12  from:1 to:2 operator:-1  from:1 to:5 operator:8  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:9  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,26
59,1.19E-07,7.52E-09,1.19E-07,5.84E-09,1.19E-07,9.03E-09,0:1 1:1 2:1 3:1 4:1 5:2 6:2 7:4 8:5 9:6 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:5 operator:8  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:3 to:7 operator:16  from:4 to:5 operator:-1  from:4 to:8 operator:17  from:4 to:9 operator:9  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,31
60,1.19E-07,2.34E-08,1.19E-07,1.12E-08,1.19E-07,2.54E-08,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:1 8:3 9:3 ,from:0 to:1 operator:-1  from:0 to:8 operator:16  from:1 to:2 operator:16  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:13  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,31
63,1.79E-07,5.79E-09,1.19E-07,6.35E-09,2.38E-07,8.64E-09,0:1 1:1 2:1 3:1 4:2 5:3 6:3 7:3 8:3 9:3 ,from:0 to:1 operator:-1  from:0 to:4 operator:10  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:5 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:11  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,33
67,1.19E-07,6.79E-09,1.19E-07,4.32E-09,1.19E-07,7.65E-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:3 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:11  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:9  from:7 to:8 operator:12  from:8 to:9 operator:-1  ,36
68,1.19E-07,2.83E-09,1.19E-07,1.83E-09,1.19E-07,3.19E-09,0:1 1:1 2:1 3:1 4:1 5:2 6:3 7:4 8:4 9:6 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:5 operator:8  from:1 to:9 operator:4  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:3 to:6 operator:8  from:4 to:5 operator:-1  from:4 to:9 operator:9  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,36
70,1.79E-07,2.69E-08,1.19E-07,2.77E-08,2.38E-07,3.78E-08,0:1 1:1 2:1 3:2 4:2 5:2 6:2 7:3 8:3 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:3 operator:9  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:10  ,37
72,1.19E-07,8.29E-09,1.19E-07,5.56E-09,1.19E-07,9.51E-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:3 9:4 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:-1  from:4 to:5 operator:-1  from:4 to:9 operator:9  from:5 to:6 operator:-1  from:6 to:7 operator:9  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,38
74,1.79E-07,8.32E-09,1.19E-07,8.33E-09,1.79E-07,1.17E-08,0:1 1:1 2:1 3:1 4:2 5:2 6:2 7:2 8:2 9:2 ,from:0 to:1 operator:-1  from:0 to:4 operator:10  from:1 to:2 operator:11  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:11  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,39
75,1.19E-07,2.47E-09,1.19E-07,1.54E-09,1.19E-07,2.77E-09,0:1 1:1 2:1 3:1 4:1 5:2 6:4 7:5 8:5 9:7 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:5 operator:8  from:1 to:9 operator:4  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:3 to:6 operator:8  from:4 to:5 operator:-1  from:4 to:6 operator:11  from:4 to:9 operator:9  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,39
80,1.19E-07,5.42E-09,1.19E-07,5.60E-09,1.19E-07,7.53E-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:4 9:4 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:9  from:6 to:8 operator:17  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,43
85,1.19E-07,1.64E-08,1.19E-07,1.22E-08,1.19E-07,2.01E-08,0:1 1:1 2:1 3:1 4:2 5:2 6:2 7:2 8:3 9:3 ,from:0 to:1 operator:17  from:0 to:4 operator:13  from:1 to:2 operator:16  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:13  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,47
87,1.19E-07,1.09E-08,1.19E-07,5.95E-09,1.19E-07,1.20E-08,0:1 1:1 2:1 3:1 4:1 5:2 6:2 7:3 8:3 9:4 ,from:0 to:1 operator:-1  from:0 to:5 operator:9  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:4  from:4 to:5 operator:-1  from:4 to:9 operator:16  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,48
93,1.19E-07,2.26E-08,1.19E-07,1.17E-08,1.19E-07,2.45E-08,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:3 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:16  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:13  from:4 to:5 operator:-1  from:4 to:7 operator:13  from:5 to:6 operator:8  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,53
102,1.19E-07,3.58E-09,1.19E-07,3.58E-09,1.19E-07,4.91E-09,0:1 1:1 2:1 3:1 4:1 5:2 6:3 7:4 8:4 9:6 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:5 operator:8  from:1 to:9 operator:4  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:3 to:6 operator:17  from:4 to:5 operator:-1  from:4 to:9 operator:9  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,61
106,1.19E-07,5.12E-09,1.19E-07,3.00E-09,1.19E-07,5.66E-09,0:1 1:1 2:1 3:1 4:1 5:2 6:4 7:6 8:6 9:8 ,from:0 to:1 operator:-1  from:0 to:7 operator:16  from:1 to:2 operator:-1  from:1 to:5 operator:8  from:1 to:9 operator:4  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:3 to:6 operator:8  from:4 to:5 operator:-1  from:4 to:6 operator:11  from:4 to:9 operator:9  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,64
113,1.79E-07,5.86E-09,1.19E-07,6.67E-09,1.79E-07,8.86E-09,0:1 1:1 2:1 3:1 4:2 5:3 6:3 7:3 8:3 9:3 ,from:0 to:1 operator:-1  from:0 to:4 operator:10  from:1 to:2 operator:-1  from:2 to:3 operator:13  from:2 to:5 operator:13  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:11  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,70
119,1.19E-07,6.21E-09,1.19E-07,6.14E-09,1.19E-07,8.40E-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:4 9:4 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:2 to:3 operator:11  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:9  from:6 to:8 operator:17  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,75
124,1.19E-07,1.06E-08,1.19E-07,6.12E-09,1.19E-07,1.12E-08,0:1 1:1 2:1 3:2 4:2 5:2 6:2 7:3 8:3 9:4 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:3 operator:9  from:1 to:9 operator:16  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,79
126,1.19E-07,5.76E-09,1.19E-07,3.69E-09,1.19E-07,6.41E-09,0:1 1:1 2:1 3:1 4:1 5:1 6:1 7:2 8:3 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:12  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:3 to:8 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:9  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,80
128,1.79E-07,2.04E-08,1.19E-07,1.54E-08,2.38E-07,2.49E-08,0:1 1:1 2:1 3:1 4:2 5:2 6:2 7:2 8:2 9:2 ,from:0 to:1 operator:-1  from:0 to:4 operator:10  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:3 to:4 operator:16  from:4 to:5 operator:-1  from:5 to:6 operator:11  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,81
143,1.79E-07,5.79E-09,1.19E-07,6.28E-09,2.38E-07,8.44E-09,0:1 1:1 2:1 3:1 4:2 5:3 6:3 7:3 8:3 9:3 ,from:0 to:1 operator:-1  from:0 to:4 operator:10  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:5 operator:13  from:3 to:4 operator:12  from:4 to:5 operator:-1  from:5 to:6 operator:11  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,95
145,5.96E-08,4.84E-09,5.96E-08,5.72E-09,5.96E-08,5.58E-09,0:1 1:1 2:1 3:1 4:2 5:3 6:1 7:1 8:1 9:1 ,from:0 to:1 operator:-1  from:0 to:4 operator:10  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:5 operator:13  from:3 to:4 operator:12  from:4 to:5 operator:-1  from:5 to:6 operator:17  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,96
147,1.19E-07,2.17E-09,1.79E-07,1.35E-09,1.19E-07,2.44E-09,0:1 1:1 2:1 3:1 4:1 5:3 6:5 7:6 8:6 9:8 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:5 operator:8  from:1 to:9 operator:4  from:2 to:3 operator:-1  from:2 to:5 operator:4  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:3 to:6 operator:8  from:4 to:5 operator:-1  from:4 to:6 operator:11  from:4 to:9 operator:9  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,97
152,1.79E-07,2.66E-08,1.79E-07,2.76E-08,2.38E-07,3.72E-08,0:1 1:1 2:1 3:2 4:2 5:2 6:2 7:4 8:4 9:4 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:3 operator:9  from:1 to:7 operator:-1  from:2 to:3 operator:-1  from:2 to:7 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:10  ,101
153,1.79E-07,2.63E-08,1.49E-07,2.86E-08,2.38E-07,3.73E-08,0:1 1:1 2:1 3:2 4:2 5:2 6:2 7:3 8:3 9:3 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  from:1 to:3 operator:9  from:2 to:3 operator:-1  from:2 to:7 operator:9  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:10  ,101
159,1.79E-07,5.30E-09,1.19E-07,5.54E-09,1.79E-07,7.66E-09,0:1 1:1 2:1 3:1 4:2 5:3 6:3 7:3 8:3 9:3 ,from:0 to:1 operator:-1  from:0 to:4 operator:10  from:1 to:2 operator:-1  from:1 to:5 operator:12  from:2 to:3 operator:-1  from:3 to:4 operator:-1  from:4 to:5 operator:-1  from:5 to:6 operator:11  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,106
165,1.79E-07,1.46E-08,1.19E-07,1.28E-08,2.38E-07,1.89E-08,0:1 1:1 2:1 3:1 4:1 5:2 6:2 7:3 8:3 9:3 ,from:0 to:1 operator:-1  from:0 to:5 operator:9  from:1 to:2 operator:-1  from:2 to:3 operator:-1  from:2 to:7 operator:10  from:3 to:4 operator:4  from:4 to:5 operator:-1  from:5 to:6 operator:-1  from:6 to:7 operator:-1  from:7 to:8 operator:-1  from:8 to:9 operator:-1  ,111
